Emission - (), Year, Statistics, Country,
26172.20775,1998, Jan Average, Austria, AUT
25205.81114,1999, Feb Average, Austria, AUT
26023.97075,2000, Mar Average, Austria, AUT
27072.91978,2001, Apr Average, Austria, AUT
28179.01991,2002, May Average, Austria, AUT
27903.78114,2003, Jun Average, Austria, AUT
27840.69631,2004, Jul Average, Austria, AUT
28570.62506,2005, Aug Average, Austria, AUT
30077.64122,2006, Sep Average, Austria, AUT
29259.79858,2007, Oct Average, Austria, AUT
26711.16807,2008, Nov Average, Austria, AUT
26151.57551,2009, Dec Average, Austria, AUT
25868.53541,2010, Dec Average, Austria, AUT
23888.27888,2011, Dec Average, Austria, AUT
22803.44883,2012, Dec Average, Austria, AUT
21998.12626,2013, Dec Average, Austria, AUT
22609.48542,2014, Dec Average, Austria, AUT
22671.43852,2015, Dec Average, Austria, AUT
23319.27005,2016, Dec Average, Austria, AUT
22213.71599,2017, Dec Average, Austria, AUT
