Temperature - (Celsius), Year, Statistics, Country,
0.12371,2014, Jan Average, Austria, AUT
1.3831,2014, Feb Average, Austria, AUT
5.29799,2014, Mar Average, Austria, AUT
8.2207,2014, Apr Average, Austria, AUT
10.1892,2014, May Average, Austria, AUT
14.8951,2014, Jun Average, Austria, AUT
16.617,2014, Jul Average, Austria, AUT
14.5986,2014, Aug Average, Austria, AUT
12.6457,2014, Sep Average, Austria, AUT
9.69687,2014, Oct Average, Austria, AUT
5.61371,2014, Nov Average, Austria, AUT
0.02563,2014, Dec Average, Austria, AUT
